#{"t_start": 1534282694.9188428, "env_id": "SetDown-v3"}
r,l,t
0,1500,18.208127
0,1500,34.510453
0,1500,50.521304
0,1500,64.451582
0,1500,79.779855
0,1500,94.929353
0,1500,110.934876
0,1500,125.363341
0,1500,140.947056
0,1500,157.164707
0,1500,173.13138
0,1500,187.637142
1,1500,203.402108
171,1500,218.722861
0,1500,232.899712
181,1500,248.341242
0,1500,264.110115
0,1500,280.088418
0,1500,294.028161
0,1500,309.641097
0,1500,324.764234
0,1500,340.757453
10,1500,354.999654
24,1500,370.162768
149,1500,385.097208
171,1500,400.865557
18,1500,414.532387
137,1500,429.444739
17,1500,445.847077
19,1500,460.048258
0,1500,476.132394
50,1500,492.227087
52,1500,507.692474
76,1500,522.685322
0,1500,537.811168
74,1500,553.580484
0,1500,569.450433
193,1500,583.484386
196,1500,598.807317
0,1500,616.303823
74,1500,632.802404
0,1500,648.015336
0,1500,663.698217
80,1500,679.53256
135,1500,693.607056
190,1500,710.324417
0,1500,726.368687
184,1500,742.998813
4,933,755.126568
0,1500,772.943341
129,1500,790.573937
0,1500,809.182577
196,1076,823.170623
0,1500,843.284413
0,1500,862.023034
0,1500,881.594382
0,1500,899.517639
115,1093,910.98344
422,1500,928.207926
0,1500,946.269487
0,1500,962.868532
0,1500,980.97822
361,1102,995.571549
0,1500,1012.451394
0,1500,1030.093402
0,1500,1047.784151
0,1500,1065.172006
0,1500,1081.312047
0,1500,1099.57638
382,1059,1114.001061
0,1500,1132.01009
429,836,1144.060085
0,1500,1161.820139
0,1500,1177.730134
349,678,1187.932584
0,1500,1205.734656
231,1033,1219.476325
26,1355,1236.278303
203,582,1244.207172
324,859,1257.210371
0,1500,1276.144865
250,686,1285.732495
42,447,1294.326282
0,1500,1312.253172
0,1500,1329.769609
354,1095,1344.408402
417,1409,1360.841628
0,1500,1379.314203
331,1186,1393.660668
577,1389,1409.813683
487,1122,1425.25741
0,1500,1442.199608
0,1500,1459.485374
0,1500,1477.421059
719,1393,1494.561798
644,1458,1513.659767
0,1500,1533.564348
569,1500,1551.198895
455,1500,1568.665845
0,1500,1584.799757
0,1500,1602.25742
314,1500,1620.642329
870,1500,1638.177936
0,1500,1655.909905
0,1500,1674.323765
0,1500,1693.24462
0,1500,1710.393306
965,1500,1729.221174
621,1500,1747.317405
601,1500,1765.971648
0,1500,1782.252657
0,1500,1800.811742
0,1500,1818.734597
598,1500,1836.191175
0,1500,1855.248537
837,1500,1873.333355
0,1500,1891.654085
485,1500,1908.071916
534,1500,1926.183884
0,1500,1944.014416
0,1500,1962.080901
0,1500,1979.020509
0,1500,1996.408188
0,1500,2014.143621
596,1500,2031.687723
366,1500,2048.026732
360,1500,2065.499738
590,1500,2082.036715
0,1500,2098.281177
0,1500,2115.984982
0,1500,2133.810289
826,1500,2151.317207
0,1500,2167.521122
534,1500,2185.681293
0,1500,2203.537966
490,1272,2219.972201
0,1500,2237.613339
829,1500,2254.94529
0,1500,2272.369962
0,1500,2288.666224
0,1500,2306.140441
203,1500,2323.653165
0,1500,2341.892457
562,1500,2358.517301
454,1500,2376.228072
0,1500,2394.097526
336,1500,2411.96901
632,1500,2428.501902
0,1500,2446.579132
0,1500,2464.628688
651,1500,2481.585444
0,1500,2498.313069
208,1500,2515.874298
0,1500,2532.710009
500,1500,2549.320136
268,1500,2567.189515
477,1500,2584.553277
921,1500,2602.450778
245,1500,2619.303445
551,1500,2636.824684
610,1500,2654.501041
616,1500,2671.915992
0,1500,2688.005302
0,1500,2705.015173
392,1500,2722.435006
0,1500,2738.85928
0,1500,2757.399589
414,1500,2776.019905
475,1500,2794.593416
585,1500,2811.214677
510,1500,2828.601121
632,1500,2846.267863
390,1500,2864.014187
226,1500,2881.177879
468,1500,2903.375188
726,1500,2924.271161
506,1500,2942.274307
536,1500,2958.348773
0,1500,2975.801274
568,1500,2993.36302
0,1500,3009.772562
0,1500,3027.890507
0,1500,3046.271708
856,1500,3063.49882
0,1500,3080.12649
364,1500,3098.162278
689,1500,3116.003927
807,1500,3133.31639
584,1500,3149.784721
801,1500,3167.339704
0,1500,3185.249515
0,1500,3202.929495
618,1500,3219.469215
864,1500,3237.605608
909,1500,3255.751077
0,1500,3272.556369
447,1500,3290.525474
0,1500,3308.745389
0,1500,3326.723751
309,1500,3343.571212
384,1500,3361.355293
0,1500,3379.266366
0,1500,3396.722261
0,1500,3413.520603
761,1500,3431.643595
0,1500,3449.732989
0,1500,3467.699789
0,1500,3484.039459
115,1500,3503.521298
90,1500,3522.622047
165,1500,3544.389727
90,1500,3562.526538
0,1500,3579.555207
0,1500,3596.9471
0,1500,3615.741622
0,1500,3633.442943
265,1500,3650.858418
114,1500,3668.261319
413,1500,3684.454567
362,1500,3702.294308
0,1500,3721.138425
0,1500,3738.106949
0,1500,3754.939989
2,1500,3772.506639
31,1500,3791.387277
41,1500,3810.089219
0,1500,3826.844691
292,1500,3844.251815
151,1500,3861.697448
0,1500,3877.643073
0,1500,3895.134401
0,1500,3912.824624
158,1500,3930.884423
0,1500,3947.299325
0,1500,3967.791768
0,1500,3987.407883
0,1500,4009.309589
34,1500,4026.839207
0,1500,4044.862983
0,1500,4063.385235
